tournament,model,mean_match_rps,mean_match_brier,mean_match_log_loss,champion_brier,champion_log_loss,finalist_hit_rate,semifinalist_hit_rate,champion,predicted_champion,leakage_passed,market_status,configuration,rps_delta_named_minus_nominal
2014,shipped_gyan,0.18498897874395825,0.5325050679344476,0.8967541287094498,0.8674072552578134,2.235514787455148,0.5,0.75,Germany,Brazil,True,not_market,stage3_shipped_four_expert_weights,
2014,goal_only,0.21048757019546788,0.5876717946267895,0.9855124963242221,0.9150710315108699,2.7803460980623673,0.0,0.75,Germany,Spain,True,not_market,goal,
2014,goal_yield,0.20457270924936521,0.5756791994988816,0.9678325561671192,0.9052282662740041,2.6710746657643294,0.0,0.75,Germany,Brazil,True,not_market,goal+yield_named,
2014,goal_yield_socioeconomic,0.21047374737502872,0.5873807636967345,0.9854327053711439,0.9240320323440604,2.856626047236248,0.0,0.75,Germany,Brazil,True,not_market,goal+yield_named+socioeconomic,
2014,goal_yield_market,0.186354788733883,0.5360637382244967,0.9064330473093798,0.8721972883141357,2.345443442641333,0.0,0.75,Germany,Brazil,True,not_market,goal+yield_named+market,
2014,full_gyan_equal,0.19112200113081382,0.5458398228832976,0.9243069173788991,0.8936697163856994,2.531694578694552,0.0,0.75,Germany,Brazil,True,not_market,goal+yield_named+socioeconomic+market,
2014,yield_named_vs_nominal,0.20033296123644348,0.5671627604997145,0.9543794180255447,,,,,,,True,,yield_named_minus_yield_nominal,-0.008298543502664235
2018,shipped_gyan,0.19249342728728708,0.5484441217351455,0.9297646172242418,0.8823165777319155,2.3387520564036515,0.0,0.25,France,Brazil,True,not_market,stage3_shipped_four_expert_weights,
2018,goal_only,0.21697442271203318,0.6002231113643732,1.0045133311212366,0.9465959771979255,3.06964182647336,0.0,0.0,France,Brazil,True,not_market,goal,
2018,goal_yield,0.2111746007546515,0.5881804453992568,0.9875087242854548,0.9471209012551339,3.032306342189655,0.0,0.25,France,Brazil,True,not_market,goal+yield_named,
2018,goal_yield_socioeconomic,0.21596920038112483,0.5986298362436165,1.001509822239011,0.9489709775399395,3.0994882938498183,0.0,0.0,France,Brazil,True,not_market,goal+yield_named+socioeconomic,
2018,goal_yield_market,0.1966215520480078,0.5569897056460762,0.9433127456002197,0.9150532270751298,2.616723104790174,0.0,0.25,France,Brazil,True,not_market,goal+yield_named+market,
2018,full_gyan_equal,0.20140064698051513,0.5678098825653227,0.9583420926475609,0.9217250442971325,2.7397433056026763,0.0,0.25,France,Brazil,True,not_market,goal+yield_named+socioeconomic+market,
2018,yield_named_vs_nominal,0.207011742329958,0.5794306707666348,0.9746879433827734,,,,,,,True,,yield_named_minus_yield_nominal,-0.00755969642588078
2022,shipped_gyan,0.2096260811930556,0.589503461187207,1.0154740210699402,0.853899651917051,2.221326919084566,0.5,0.5,Argentina,Brazil,True,not_market,stage3_shipped_four_expert_weights,
2022,goal_only,0.21934140456557524,0.617429712262259,1.0332305631581322,0.8882221962081701,2.5748795101187176,0.5,0.25,Argentina,Brazil,True,not_market,goal,
2022,goal_yield,0.21895286346647747,0.615996080463089,1.0332422150088219,0.8415590295227078,2.262171356697908,0.5,0.25,Argentina,Brazil,True,not_market,goal+yield_named,
2022,goal_yield_socioeconomic,0.2128672586466307,0.6033578775794615,1.0143501465574905,0.8550273409541617,2.3541619074847606,0.5,0.25,Argentina,Brazil,True,not_market,goal+yield_named+socioeconomic,
2022,goal_yield_market,0.21315108817048425,0.600646563688688,1.02083570270214,0.835218929688365,2.175804375823333,0.5,0.5,Argentina,Brazil,True,not_market,goal+yield_named+market,
2022,full_gyan_equal,0.20795036249561774,0.591005849248374,1.0026375688045384,0.8417618597070956,2.2407621035741014,0.5,0.25,Argentina,Brazil,True,not_market,goal+yield_named+socioeconomic+market,
2022,yield_named_vs_nominal,0.22030576426250645,0.6183008255517982,1.0390335427528563,,,,,,,True,,yield_named_minus_yield_nominal,0.0023355932567452053
