tournament,model,mean_match_rps,mean_match_brier,mean_match_log_loss,champion_brier,champion_log_loss,finalist_hit_rate,semifinalist_hit_rate,champion,predicted_champion,leakage_passed,market_status,configuration
2014,goal,0.21048757019546788,0.5876717946267895,0.9855124963242221,0.9150710315108699,2.7803460980623673,0.0,0.75,Germany,Spain,True,not_market,
2014,yield_named,0.20033296123644348,0.5671627604997145,0.9543794180255447,0.8983420389223804,2.5807979323688457,0.0,0.75,Germany,Brazil,True,not_market,
2014,socioeconomic,0.2261947285755152,0.6188571487761997,1.0306033543280433,0.95827700681782,3.2755136058966294,0.0,0.5,Germany,Spain,True,not_market,
2014,market,0.18887119710417813,0.5442744747443179,0.9173391700419129,0.8495407973439051,2.0079144783640586,0.5,0.75,Germany,Brazil,True,zeileis_2014_bookmaker_consensus_22_books,
2014,GYAN,0.18498897874395825,0.5325050679344476,0.8967541287094498,0.8674072552578134,2.235514787455148,0.5,0.75,Germany,Brazil,True,not_market,stage3_shipped_weights
2018,goal,0.21697442271203318,0.6002231113643732,1.0045133311212366,0.9465959771979255,3.06964182647336,0.0,0.0,France,Brazil,True,not_market,
2018,yield_named,0.207011742329958,0.5794306707666348,0.9746879433827734,0.9514570277029553,3.0161547408508627,0.0,0.25,France,Brazil,True,not_market,
2018,socioeconomic,0.23091422762218974,0.6300758508127178,1.0439438112350161,0.9607329871110448,3.2964937017443727,0.0,0.0,France,Brazil,True,not_market,
2018,market,0.19295749121701838,0.5501646848927615,0.9384549901698179,0.8594018841418734,2.105946661059833,0.0,0.25,France,Brazil,True,zeileis_2018_bookmaker_consensus_26_books,
2018,GYAN,0.19249342728728708,0.5484441217351455,0.9297646172242418,0.8823165777319155,2.3387520564036515,0.0,0.25,France,Brazil,True,not_market,stage3_shipped_weights
2022,goal,0.21934140456557524,0.617429712262259,1.0332305631581322,0.8882221962081701,2.5748795101187176,0.5,0.25,Argentina,Brazil,True,not_market,
2022,yield_named,0.22030576426250645,0.6183008255517982,1.0390335427528563,0.7915275103413143,1.9856617246616146,0.5,0.25,Argentina,Brazil,True,not_market,
2022,socioeconomic,0.2174551145639033,0.6113664468949683,1.019754660214501,0.8973105042055214,2.645044304018008,0.5,0.25,Argentina,Argentina,True,not_market,
2022,market,0.22317168775679636,0.6156048173629066,1.0851446253818429,0.8806003172113432,2.266781018049476,0.5,0.5,Argentina,Brazil,True,sportstatist_2022_william_hill_2022_09_01,
2022,GYAN,0.2096260811930556,0.589503461187207,1.0154740210699402,0.853899651917051,2.221326919084566,0.5,0.5,Argentina,Brazil,True,not_market,stage3_shipped_weights
